season;episode_number;title;airdate;rating;total_votes;desc
1;1;Chapter One: The River's Edge;28/01/2017;75;3529;"As a new school year begins, the town still reels from Jason Blossom's tragic death; Archie decides to pursue a career in music; Cheryl Blossom stirs up trouble."
1;2;Chapter Two: A Touch of Evil;02/02/2017;77;2797;"Archie pleads with Ms Grundy to come forward with what they heard; Cheryl deals with the pressure of Jason's death; Jughead stumbles upon Archie's secret."
1;3;Chapter Three: Body Double;09/02/2017;77;2655;"Cheryl comes clean about when she last saw Jason; Betty and Jughead investigate Jason's death; Veronica and Ethel investigate a shame book."
1;4;Chapter Four: The Last Picture Show;16/02/2017;79;2515;"Jughead fights to keep the local drive-in open; Betty and Veronica investigate Ms Grundy, uncovering some startling information about her past."
1;5;Chapter Five: Heart of Darkness;23/02/2017;77;2290;"The Blossom family move forward with Jason's funeral, and a secret agenda; Hermione seeks Fred's help; Betty dives deeper into Jason's death."
1;6;Chapter Six: Faster, Pussycats! Kill! Kill!;02/03/2017;78;2269;"Valerie's efforts to help Archie leads to a major fallout with Josie; Betty and Jughead's investigation brings them face-to-face with Polly."
1;7;Chapter Seven: In a Lonely Place;09/03/2017;77;2138;"New rumors swirl when a major piece of evidence is mysteriously destroyed; Cheryl approaches Betty with an unexpected proposal."
1;8;Chapter Eight: The Outsiders;30/03/2017;75;2038;Archie and his friends pitch in to help Fred, but when one of them is attacked, they come up with a plan that lands them in Southside Serpent territory.
1;9;Chapter Nine: La Grande Illusion;06/04/2017;75;2008;"Archie receives an offer from Cheryl; Veronica befriends a classmate that her father's illegal doings has hurt; Alice prepares for revenge on the Blossoms."
1;10;Chapter Ten: The Lost Weekend;13/04/2017;80;2073;"Fred decides to finalize his divorce; Archie plans to win Valerie back; Betty plans a surprise birthday party for Jughead, until Cheryl spirals things out of control."
1;11;Chapter Eleven: To Riverdale and Back Again;27/04/2017;80;1966;"Cheryl and Polly decide to attend the Homecoming in Jason's honor, until a revelation waylays their plans; Alice turns to Archie and Veronica for help."
1;12;Chapter Twelve: Anatomy of a Murder;04/05/2017;87;2510;"Archie and Veronica are shocked to learn of the arrest, and must come clean to their parents about what they uncovered; Jason's killer is revealed."
1;13;Chapter Thirteen: The Sweet Hereafter;11/05/2017;85;2368;"Jughead finds himself in an unexpected situation; The truth about Blossoms' family business is revealed, leaving Cheryl to take matters into her own hands."
2;1;Chapter Fourteen: A Kiss Before Dying;11/10/2017;79;2105;"Fred's life hangs in the balance following the shooting; Veronica's father arrives into town; Jughead and Betty question the gunman's true motives."
2;2;Chapter Fifteen: Nighthawks;18/10/2017;77;1728;"With the gunman still at large, Betty leads the charge to save Pop's from closing; Jughead's attempt to find FP a new lawyer may have some serious repercussions."
2;3;Chapter Sixteen: The Watcher in the Woods;25/10/2017;76;1636;"Archie takes matters into his own hands; An unexpected turn of events leads the town to realize their darkest chapter may be far from over."
2;4;Chapter Seventeen: The Town That Dreaded Sundown;01/11/2017;78;1609;"Betty finds herself at the center of a deepening mystery; Tensions between the North and Southside comes to a head and leads to an unexpected showdown."
2;5;Chapter Eighteen: When a Stranger Calls;08/11/2017;84;1862;"Betty turns to Archie for help after receiving an ultimatum; Veronica's old friend comes to town, but his plans for a wild night takes an unexpected turn."
2;6;Chapter Nineteen: Death Proof;15/11/2017;80;1594;"A charge led by Mayor McCoy threatens to further escalate tensions with the Southside; Betty is thrust into a burgeoning mystery surrounding the Sugarman."
2;7;Chapter Twenty: Tales from the Darkside;29/11/2017;79;1609;The town remains on edge after a chilling letter from the Black Hood challenges the town's residents to remain sinless for 48 hours, or he'll strike again.
2;8;Chapter Twenty-One: House of the Devil;06/12/2017;78;1597;"When Jughead learns that F.P. is getting released from prison, he and Betty organize a welcome home party; Archie and Veronica push their relationship issues aside to focus on the Black Hood investigation."
2;9;Chapter Twenty-Two: Silent Night, Deadly Night;13/12/2017;81;1605;"Veronica uncovers a major secret about her father; Betty and Archie's vow to take down the Black Hood once and for all leads to a dangerous showdown."
2;10;Chapter Twenty-Three: The Blackboard Jungle;17/01/2018;76;1455;"Tensions mount when Jughead and his fellow students from Southside High transfer to Riverdale High; Betty sets out to find her long-lost brother."
2;11;Chapter Twenty-Four: The Wrestler;24/01/2018;72;1458;"Archie joins the wrestling team to get closer to Hiram; Jughead digs up shocking details about Riverdale's past; Betty unearths some dark secrets about Chic."
2;12;Chapter Twenty-Five: The Wicked and the Divine;31/01/2018;78;1457;"An act of vandalism stirs up suspicion; Archie's new job as Hiram's intern has Veronica worried he'll learn about the Lodge family secrets."
2;13;Chapter Twenty-Six: The Tell-Tale Heart;07/02/2018;80;1457;"A hasty decision comes back to haunt Betty; Tensions between Hiram, FP and Jughead spiral out of control; Archie is forced to make a tough decision."
2;14;Chapter Twenty-Seven: The Hills Have Eyes;07/03/2018;78;1463;"Determined to uncover Hiram's plans, Jughead presses Veronica about what she may know; Cheryl makes a surprising connection with an unlikely friend."
2;15;Chapter Twenty-Eight: There Will Be Blood;14/03/2018;76;1348;"Fred considers running for Mayor; Betty becomes increasingly suspicious of Chic; Jughead makes a major discovery in his quest to take down Hiram."
2;16;Chapter Twenty-Nine: Primary Colors;21/03/2018;78;1390;"In the aftermath of Hiram's plans, Jughead resorts to drastic measures to voice his opposition; Tensions between Fred and Archie reach a breaking point."
2;17;Chapter Thirty: The Noose Tightens;28/03/2018;78;1382;"Riverdale High's student council election heats up; Archie steps up to help after learning that Hiram's mobster associates have come to Riverdale to stir up trouble; an unexpected guest shows up at the Cooper residence."
2;18;Chapter Thirty-One: A Night to Remember;18/04/2018;58;2656;As rehearsals begin for Carrie the Musical, the arrival of an ominous letter forces Kevin to make a difficult decision about the show.
2;19;Chapter Thirty-Two: Prisoners;25/04/2018;83;1531;"An incident at Riverdale High leaves the town on edge; The reveal of a devastating secret leads to a violent showdown between Chic, Jughead, Betty and Alice."
2;20;Chapter Thirty-Three: Shadow of a Doubt;02/05/2018;82;1446;"Betty turns to Cheryl for help when she has a suspicion about the Black Hood; A mysterious message leaves everyone on edge."
2;21;Chapter Thirty-Four: Judgment Night;09/05/2018;90;2343;"An all-out war with the North and the Southside triggers; Veronica makes a devastating discovery; Betty comes face to face with the Black Hood."
2;22;Chapter Thirty-Five: Brave New World;16/05/2018;78;1461;"Veronica stays one step ahead after uncovering Hiram's latest scheme; FP makes a surprising announcement to Jughead and the Serpents; Betty confronts her darkest demons."
